index,voted
453,0.5153
454,0.5332
455,0.6408
456,0.5022
457,0.7798
458,0.6415
459,0.9647
460,0.6806
461,0.7583
462,0.9431
463,0.5592
464,0.6907
465,0.598
466,0.6346
467,0.8817
468,0.5171
469,0.6871
470,0.8365
471,0.7583
472,0.6808
473,0.6879
474,0.5338
475,0.6435
476,0.5093
477,0.8505
478,0.8431
479,0.9572
480,0.6617
481,0.6256
482,0.6364
483,0.5359
484,0.9651
485,0.9693
486,0.6332
487,0.752
488,0.6408
489,0.7114
490,0.5952
491,0.7392
492,0.5698
493,0.5179
494,0.8381
495,0.5265
496,0.5726
497,0.7931
498,0.6075
499,0.5521
500,0.5123
501,0.8521
502,0.5179
503,0.5187
504,0.7847
505,0.5385
506,0.6168
507,0.5893
508,0.6306
509,0.6902
510,0.5328
511,0.7253
512,0.5545
513,0.5262
514,0.8373
515,0.5296
516,0.6825
517,0.6515
518,0.7677
519,0.7814
520,0.5201
521,0.5047
522,0.8782
523,0.6751
524,0.8068
525,0.8776
526,0.9529
527,0.7888
528,0.9538
529,0.8672
530,0.9315
531,0.5361
532,0.6992
533,0.5269
534,0.6656
535,0.7106
536,0.5526
537,0.5661
538,0.5661
539,0.6912
540,0.511
541,0.5454
542,0.9439
543,0.6445
544,0.5017
545,0.5151
546,0.9667
547,0.7361
548,0.8724
549,0.5876
550,0.6668
551,0.6194
552,0.8002
553,0.7992
554,0.6926
555,0.7283
556,0.5735
557,0.8479
558,0.5086
559,0.7173
560,0.7443
561,0.503
562,0.5704
563,0.955
564,0.5145
565,0.7463
566,0.5542
567,0.5361
568,0.9585
569,0.6296
570,0.5462
571,0.8898
572,0.5318
573,0.8235
574,0.5525
575,0.8585
576,0.6851
577,0.5541
578,0.7625
579,0.8484
580,0.6332
581,0.7498
582,0.5724
583,0.6152
584,0.75
585,0.7857
586,0.7191
587,0.5291
588,0.7776
589,0.7007
590,0.8122
591,0.7187
592,0.5393
593,0.7547
594,0.6064
595,0.5395
596,0.6604
597,0.5345
598,0.6895
599,0.5787
600,0.5025
601,0.717
602,0.8343
603,0.7224
604,0.6077
605,0.6256
606,0.7642
607,0.7428
608,0.8359
609,0.5706
610,0.5456
611,0.5229
612,0.5801
613,0.5945
614,0.7481
615,0.731
616,0.5975
617,0.6411
618,0.5815
619,0.5995
620,0.7738
621,0.5226
622,0.6325
623,0.6679
624,0.5354
625,0.6133
626,0.5322
627,0.7772
628,0.9715
629,0.9692
630,0.8382
631,0.5952
632,0.7653
633,0.6703
634,0.5323
635,0.8769
636,0.7808
637,0.5798
638,0.7169
639,0.7365
640,0.765
641,0.5154
642,0.6521
643,0.5235
644,0.6202
645,0.5089
646,0.8665
647,0.7598
648,0.6027
649,0.576
650,0.9689
651,0.62
652,0.8233
653,0.6221
654,0.5766
655,0.5286
656,0.6321
657,0.6249
658,0.9529
659,0.8509
660,0.5454
661,0.814
662,0.5988
663,0.8208
664,0.8244
665,0.687
666,0.6451
667,0.6607
668,0.8047
669,0.5392
670,0.6964
671,0.5154
672,0.9612
673,0.9769
674,0.6516
675,0.7317
676,0.9544
677,0.7009
678,0.8116
679,0.6101
680,0.5725
681,0.9655
682,0.9415
683,0.6089
684,0.6513
685,0.7101
686,0.6317
687,0.5762
688,0.5179
689,0.5478
690,0.7339
691,0.5426
692,0.9654
693,0.6409
694,0.7116
695,0.5503
696,0.9646
697,0.5898
698,0.535
699,0.7545
700,0.7038
701,0.5278
702,0.6279
703,0.6475
704,0.9493
705,0.9627
706,0.7091
707,0.9466
708,0.6989
709,0.5969
710,0.8843
711,0.5269
712,0.6435
713,0.7201
714,0.949
715,0.867
716,0.5532
717,0.7483
718,0.5242
719,0.7193
720,0.744
721,0.9585
722,0.5981
723,0.9549
724,0.6385
725,0.7773
726,0.7302
727,0.9538
728,0.7773
729,0.5515
730,0.8
731,0.7327
732,0.9519
733,0.6057
734,0.685
735,0.8844
736,0.9591
737,0.7971
738,0.8234
739,0.5144
740,0.5886
741,0.7467
742,0.9762
743,0.7818
744,0.8725
745,0.5833
746,0.6016
747,0.7403
748,0.7208
749,0.5399
750,0.5283
751,0.7965
752,0.6042
753,0.8377
754,0.7317
755,0.794
756,0.827
757,0.6082
758,0.8062
759,0.5472
760,0.5885
761,0.8434
762,0.5349
763,0.751
764,0.7595
765,0.7437
766,0.9733
767,0.591
768,0.8802
769,0.9168
770,0.6337
771,0.7016
772,0.9552
773,0.7661
774,0.6773
775,0.6213
776,0.6309
777,0.7124
778,0.6575
779,0.6824
780,0.8276
781,0.7439
782,0.5583
783,0.6284
784,0.8603
785,0.599
786,0.6095
787,0.7385
788,0.6947
789,0.7399
790,0.589
791,0.649
792,0.5015
793,0.5222
794,0.8153
795,0.6435
796,0.5733
797,0.683
798,0.6776
799,0.6551
800,0.9335
801,0.6809
802,0.6584
803,0.8171
804,0.5527
805,0.6467
806,0.5968
807,0.6997
808,0.5899
809,0.5282
810,0.7769
811,0.6604
812,0.6132
813,0.5459
814,0.956
815,0.7181
816,0.531
817,0.7504
818,0.5836
819,0.8358
820,0.6524
821,0.9772
822,0.5245
823,0.7526
824,0.9707
825,0.5419
826,0.5622
827,0.7337
828,0.736
829,0.5822
830,0.6686
831,0.5003
832,0.7977
833,0.79
834,0.5734
835,0.8969
836,0.7046
837,0.7884
838,0.7174
839,0.5858
840,0.5197
841,0.7032
842,0.8589
843,0.7686
844,0.5956
845,0.5587
846,0.5777
847,0.6035
848,0.7079
849,0.8057
850,0.6068
851,0.513
852,0.7705
853,0.6592
854,0.6983
855,0.9479
856,0.5815
857,0.5362
858,0.5848
859,0.7425
860,0.8558
861,0.5233
862,0.5478
863,0.5464
864,0.5377
865,0.8366
866,0.5493
867,0.7405
868,0.686
869,0.6995
870,0.6878
871,0.5928
872,0.6287
873,0.7582
874,0.6019
875,0.616
876,0.6078
877,0.6704
878,0.6998
879,0.5752
880,0.7148
881,0.6416
882,0.7247
883,0.9576
884,0.5113
885,0.5661
886,0.5038
887,0.707
888,0.5073
889,0.5519
890,0.7311
891,0.6004
892,0.7106
893,0.6737
894,0.5858
895,0.5816
896,0.5366
897,0.9384
898,0.9629
899,0.8427
900,0.8147
901,0.5238
902,0.6411
903,0.5915
904,0.5686
905,0.5685
906,0.5891
907,0.7131
908,0.6086
909,0.7855
910,0.6191
911,0.626
912,0.6024
913,0.6935
914,0.6486
915,0.6631
916,0.8271
917,0.7568
918,0.6564
919,0.546
920,0.718
921,0.7621
922,0.6884
923,0.9444
924,0.5064
925,0.6552
926,0.7742
927,0.7288
928,0.9693
929,0.748
930,0.5259
931,0.5118
932,0.7524
933,0.9623
934,0.6675
935,0.5477
936,0.6458
937,0.8669
938,0.8716
939,0.6639
940,0.5589
941,0.7546
942,0.5639
943,0.7327
944,0.6529
945,0.9636
946,0.5556
947,0.7518
948,0.6653
949,0.6093
950,0.5644
951,0.6588
952,0.5598
953,0.5038
954,0.7114
955,0.6949
956,0.6745
957,0.7407
958,0.8179
959,0.6026
960,0.5549
961,0.6987
962,0.5543
963,0.8004
964,0.7165
965,0.9404
966,0.7304
967,0.5129
968,0.854
969,0.6119
970,0.5801
971,0.6523
972,0.5151
973,0.56
974,0.5079
975,0.5386
976,0.5123
977,0.9581
978,0.5072
979,0.515
980,0.9403
981,0.5767
982,0.9544
983,0.6648
984,0.5577
985,0.9705
986,0.6626
987,0.6789
988,0.5526
989,0.6281
990,0.6363
991,0.59
992,0.8533
993,0.5724
994,0.5697
995,0.6889
996,0.6193
997,0.7446
998,0.5355
999,0.7029
1000,0.6623
1001,0.5665
1002,0.56
1003,0.7219
1004,0.8404
1005,0.5711
1006,0.7192
1007,0.5864
1008,0.5229
1009,0.5795
1010,0.5994
1011,0.5135
1012,0.5551
1013,0.5387
1014,0.9119
1015,0.5937
1016,0.9676
1017,0.6417
1018,0.5971
1019,0.6917
1020,0.6724
1021,0.8143
1022,0.6689
1023,0.5226
1024,0.5626
1025,0.6602
1026,0.6393
1027,0.6582
1028,0.6947
1029,0.7257
1030,0.7819
1031,0.9517
1032,0.9035
1033,0.6703
1034,0.6209
1035,0.739
1036,0.5938
1037,0.665
1038,0.5167
1039,0.9586
1040,0.5036
1041,0.6566
1042,0.6871
1043,0.6318
1044,0.9375
1045,0.6412
1046,0.6861
1047,0.722
1048,0.6697
1049,0.6774
1050,0.8467
1051,0.7112
1052,0.6143
1053,0.5054
1054,0.7224
1055,0.7149
1056,0.8034
1057,0.6088
1058,0.6444
1059,0.7125
1060,0.5858
1061,0.5296
1062,0.7214
1063,0.6075
1064,0.5541
1065,0.6017
1066,0.8701
1067,0.6775
1068,0.6763
1069,0.5705
1070,0.6473
1071,0.8286
1072,0.6549
1073,0.6696
1074,0.8275
1075,0.6831
1076,0.6224
1077,0.9673
1078,0.6428
1079,0.7514
1080,0.9577
1081,0.8001
1082,0.6627
1083,0.9722
1084,0.7371
1085,0.5806
1086,0.5653
1087,0.6342
1088,0.5791
1089,0.8879
1090,0.5057
1091,0.6484
1092,0.5907
1093,0.6752
1094,0.7522
1095,0.7604
1096,0.8063
1097,0.9547
1098,0.97
1099,0.6292
1100,0.5806
1101,0.6082
1102,0.5562
1103,0.9612
1104,0.5461
1105,0.5883
1106,0.7184
1107,0.5338
1108,0.5817
1109,0.5374
1110,0.5144
1111,0.614
1112,0.7813
1113,0.5319
1114,0.9378
1115,0.792
1116,0.8685
1117,0.6252
1118,0.5354
1119,0.6556
1120,0.5888
1121,0.5255
1122,0.5118
1123,0.7835
1124,0.7546
1125,0.6086
1126,0.7862
1127,0.8757
1128,0.7104
1129,0.5085
1130,0.5227
1131,0.5767
1132,0.5343
1133,0.5257
1134,0.6202
1135,0.8332
1136,0.6672
1137,0.7517
1138,0.5191
1139,0.5148
1140,0.8408
1141,0.904
1142,0.5711
1143,0.5369
1144,0.7039
1145,0.6339
1146,0.5401
1147,0.5916
1148,0.5059
1149,0.8394
1150,0.6219
1151,0.7434
1152,0.6888
1153,0.8166
1154,0.6742
1155,0.7077
1156,0.7621
1157,0.6558
1158,0.6053
1159,0.6314
1160,0.9575
1161,0.7858
1162,0.5719
1163,0.694
1164,0.5261
1165,0.7535
1166,0.672
1167,0.707
1168,0.5748
1169,0.9301
1170,0.5243
1171,0.6264
1172,0.6287
1173,0.9707
1174,0.5772
1175,0.7473
1176,0.8029
1177,0.8229
1178,0.6644
1179,0.7827
1180,0.5306
1181,0.8712
1182,0.6784
1183,0.6823
1184,0.6396
1185,0.5779
1186,0.778
1187,0.9709
1188,0.8587
1189,0.7447
1190,0.6161
1191,0.5597
1192,0.8943
1193,0.5111
1194,0.6342
1195,0.7538
1196,0.6989
1197,0.5674
1198,0.6328
1199,0.5636
1200,0.6268
1201,0.9531
1202,0.5861
1203,0.5771
1204,0.5991
1205,0.6919
1206,0.7843
1207,0.8137
1208,0.6374
1209,0.9658
1210,0.5707
1211,0.5941
1212,0.7975
1213,0.5202
1214,0.5915
1215,0.6635
1216,0.5572
1217,0.7494
1218,0.751
1219,0.753
1220,0.8081
1221,0.9741
1222,0.6254
1223,0.5105
1224,0.6869
1225,0.7289
1226,0.5998
1227,0.6596
1228,0.7056
1229,0.6215
1230,0.6473
1231,0.5907
1232,0.6903
1233,0.7736
1234,0.6408
1235,0.7354
1236,0.5707
1237,0.6639
1238,0.8242
1239,0.6846
1240,0.6192
1241,0.6699
1242,0.697
1243,0.7336
1244,0.5437
1245,0.5404
1246,0.9288
1247,0.7066
1248,0.5031
1249,0.8259
1250,0.5579
1251,0.8712
1252,0.5032
1253,0.7126
1254,0.5204
1255,0.7744
1256,0.7899
1257,0.9477
1258,0.7038
1259,0.7331
1260,0.8196
1261,0.9554
1262,0.5422
1263,0.5822
1264,0.7415
1265,0.7815
1266,0.8353
1267,0.5922
1268,0.9525
1269,0.6661
1270,0.6984
1271,0.5146
1272,0.5813
1273,0.9471
1274,0.9489
1275,0.8198
1276,0.5269
1277,0.8944
1278,0.7361
1279,0.8286
1280,0.96
1281,0.5832
1282,0.6347
1283,0.6471
1284,0.7017
1285,0.6194
1286,0.5765
1287,0.6749
1288,0.8797
1289,0.5013
1290,0.8703
1291,0.5631
1292,0.5693
1293,0.7327
1294,0.564
1295,0.8403
1296,0.723
1297,0.6196
1298,0.7539
1299,0.5014
1300,0.8521
1301,0.816
1302,0.5663
1303,0.61
1304,0.6651
1305,0.774
1306,0.9516
1307,0.7563
1308,0.7835
1309,0.5364
1310,0.6297
1311,0.7707
1312,0.7101
1313,0.9767
1314,0.8231
1315,0.7689
1316,0.5436
1317,0.5948
1318,0.6039
1319,0.7731
1320,0.8007
1321,0.8126
1322,0.881
1323,0.7098
1324,0.5961
1325,0.5359
1326,0.9575
1327,0.7123
1328,0.6719
1329,0.8586
1330,0.6304
1331,0.5555
1332,0.6081
1333,0.5151
1334,0.5694
1335,0.7455
1336,0.6215
1337,0.7094
1338,0.5165
1339,0.9202
1340,0.7497
1341,0.8
1342,0.6941
1343,0.5645
1344,0.6025
1345,0.7086
1346,0.8706
1347,0.5027
1348,0.9139
1349,0.8066
1350,0.8618
1351,0.764
1352,0.6836
1353,0.7977
1354,0.9498
1355,0.5183
1356,0.7382
1357,0.8683
1358,0.8124
1359,0.8061
1360,0.8193
1361,0.7428
1362,0.7526
1363,0.5413
1364,0.5994
1365,0.5021
1366,0.5966
1367,0.5969
1368,0.7195
1369,0.8585
1370,0.8597
1371,0.6861
1372,0.5243
1373,0.592
1374,0.7184
1375,0.6862
1376,0.5082
1377,0.7926
1378,0.5929
1379,0.5526
1380,0.9607
1381,0.632
1382,0.8109
1383,0.659
1384,0.5373
1385,0.6049
1386,0.8167
1387,0.6227
1388,0.6301
1389,0.7721
1390,0.7263
1391,0.8729
1392,0.5373
1393,0.8891
1394,0.7898
1395,0.7525
1396,0.6855
1397,0.6227
1398,0.6262
1399,0.7665
1400,0.7168
1401,0.5048
1402,0.844
1403,0.5282
1404,0.5187
1405,0.5405
1406,0.6551
1407,0.7809
1408,0.613
1409,0.5589
1410,0.589
1411,0.5976
1412,0.6922
1413,0.7073
1414,0.6681
1415,0.6857
1416,0.5438
1417,0.5376
1418,0.9592
1419,0.7896
1420,0.698
1421,0.682
1422,0.5078
1423,0.8489
1424,0.9397
1425,0.881
1426,0.6937
1427,0.5401
1428,0.5637
1429,0.6154
1430,0.7121
1431,0.7151
1432,0.8277
1433,0.6379
1434,0.5733
1435,0.514
1436,0.7676
1437,0.7505
1438,0.5687
1439,0.5321
1440,0.6174
1441,0.7322
1442,0.5
1443,0.8651
1444,0.5634
1445,0.716
1446,0.507
1447,0.9042
1448,0.694
1449,0.7454
1450,0.6042
1451,0.7312
1452,0.7287
1453,0.6463
1454,0.5264
1455,0.7372
1456,0.6658
1457,0.5658
1458,0.6785
1459,0.5963
1460,0.5468
1461,0.6557
1462,0.6965
1463,0.5463
1464,0.7788
1465,0.5736
1466,0.7046
1467,0.6618
1468,0.9506
1469,0.7589
1470,0.5768
1471,0.949
1472,0.5225
1473,0.9604
1474,0.9553
1475,0.5903
1476,0.6097
1477,0.6946
1478,0.7999
1479,0.7481
1480,0.5187
1481,0.7293
1482,0.8866
1483,0.6235
1484,0.7498
1485,0.5126
1486,0.5334
1487,0.5958
1488,0.6833
1489,0.6704
1490,0.6254
1491,0.8062
1492,0.5601
1493,0.9728
1494,0.7234
1495,0.518
1496,0.6936
1497,0.7049
1498,0.7982
1499,0.6641
1500,0.9518
1501,0.5484
1502,0.5135
1503,0.5601
1504,0.6843
1505,0.536
1506,0.837
1507,0.9599
1508,0.5079
1509,0.7996
1510,0.7237
1511,0.7966
1512,0.9591
1513,0.6948
1514,0.7336
1515,0.5432
1516,0.5439
1517,0.9643
1518,0.7239
1519,0.6427
1520,0.5458
1521,0.8296
1522,0.7353
1523,0.7106
1524,0.5302
1525,0.5586
1526,0.7014
1527,0.679
1528,0.7693
1529,0.5173
1530,0.5525
1531,0.5394
1532,0.7981
1533,0.6259
1534,0.6897
1535,0.6882
1536,0.5689
1537,0.6662
1538,0.7884
1539,0.8199
1540,0.7182
1541,0.6813
1542,0.5017
1543,0.5332
1544,0.7157
1545,0.5461
1546,0.5933
1547,0.7193
1548,0.5731
1549,0.9599
1550,0.5525
1551,0.7387
1552,0.6987
1553,0.5474
1554,0.5503
1555,0.7138
1556,0.6612
1557,0.707
1558,0.9431
1559,0.5875
1560,0.5837
1561,0.6828
1562,0.8302
1563,0.941
1564,0.575
1565,0.6923
1566,0.9445
1567,0.8478
1568,0.6196
1569,0.8763
1570,0.6673
1571,0.6106
1572,0.8299
1573,0.6848
1574,0.7467
1575,0.7232
1576,0.7084
1577,0.8186
1578,0.5982
1579,0.9454
1580,0.6557
1581,0.5107
1582,0.5039
1583,0.762
1584,0.7912
1585,0.7416
1586,0.7355
1587,0.5418
1588,0.581
1589,0.8777
1590,0.5052
1591,0.5741
1592,0.9561
1593,0.5292
1594,0.7389
1595,0.6739
1596,0.8929
1597,0.709
1598,0.586
1599,0.9588
1600,0.5681
1601,0.7387
1602,0.7587
1603,0.5374
1604,0.6835
1605,0.89
1606,0.6399
1607,0.537
1608,0.5122
1609,0.9525
1610,0.531
1611,0.5919
1612,0.7677
1613,0.5816
1614,0.565
1615,0.5865
1616,0.776
1617,0.7181
1618,0.6407
1619,0.6189
1620,0.7606
1621,0.7914
1622,0.7441
1623,0.7396
1624,0.5408
1625,0.5678
1626,0.5898
1627,0.9711
1628,0.5589
1629,0.776
1630,0.5143
1631,0.9525
1632,0.6244
1633,0.7805
1634,0.7489
1635,0.7934
1636,0.9495
1637,0.7412
1638,0.5414
1639,0.5358
1640,0.8384
1641,0.7809
1642,0.7445
1643,0.5076
1644,0.9479
1645,0.7583
1646,0.6029
1647,0.7858
1648,0.5671
1649,0.5632
1650,0.573
1651,0.7415
1652,0.5363
1653,0.503
1654,0.8971
1655,0.8298
1656,0.9679
1657,0.6662
1658,0.5926
1659,0.6922
1660,0.7359
1661,0.7001
1662,0.6783
1663,0.5411
1664,0.6017
1665,0.61
1666,0.5116
1667,0.9419
1668,0.6315
1669,0.8532
1670,0.694
1671,0.6989
1672,0.8002
1673,0.7782
1674,0.9528
1675,0.621
1676,0.5272
1677,0.5112
1678,0.964
1679,0.7591
1680,0.7509
1681,0.6809
1682,0.5323
1683,0.5353
1684,0.6601
1685,0.9399
1686,0.7338
1687,0.5226
1688,0.737
1689,0.551
1690,0.6278
1691,0.7617
1692,0.6802
1693,0.9547
1694,0.5911
1695,0.7388
1696,0.643
1697,0.6901
1698,0.8572
1699,0.6115
1700,0.6288
1701,0.6199
1702,0.6336
1703,0.5058
1704,0.5337
1705,0.531
1706,0.9587
1707,0.6059
1708,0.6727
1709,0.7244
1710,0.9416
1711,0.5479
1712,0.7643
1713,0.6412
1714,0.5678
1715,0.6271
1716,0.5732
1717,0.6859
1718,0.7191
1719,0.6391
1720,0.9545
1721,0.6374
1722,0.6245
1723,0.6975
1724,0.941
1725,0.5069
1726,0.72
1727,0.5663
1728,0.6443
1729,0.53
1730,0.5098
1731,0.9479
1732,0.8729
1733,0.6161
1734,0.8005
1735,0.9396
1736,0.6944
1737,0.5661
1738,0.8502
1739,0.7429
1740,0.892
1741,0.5257
1742,0.5478
1743,0.5254
1744,0.6241
1745,0.5731
1746,0.697
1747,0.5407
1748,0.5843
1749,0.7354
1750,0.5439
1751,0.7064
1752,0.5801
1753,0.8846
1754,0.6284
1755,0.6805
1756,0.542
1757,0.8787
1758,0.6286
1759,0.6419
1760,0.6776
1761,0.6793
1762,0.7805
1763,0.7198
1764,0.8158
1765,0.7192
1766,0.5681
1767,0.8821
1768,0.6366
1769,0.6313
1770,0.9469
1771,0.7664
1772,0.5204
1773,0.7802
1774,0.5585
1775,0.6473
1776,0.7571
1777,0.7617
1778,0.9672
1779,0.6954
1780,0.6455
1781,0.7655
1782,0.6405
1783,0.7032
1784,0.6732
1785,0.5809
1786,0.7311
1787,0.6366
1788,0.7104
1789,0.7723
1790,0.6677
1791,0.6851
1792,0.5357
1793,0.7788
1794,0.8275
1795,0.7311
1796,0.7575
1797,0.668
1798,0.9747
1799,0.6882
1800,0.8003
1801,0.656
1802,0.9646
1803,0.5637
1804,0.9623
1805,0.5356
1806,0.6941
1807,0.7704
1808,0.5151
1809,0.9712
1810,0.5669
1811,0.5126
1812,0.6277
1813,0.7214
1814,0.5783
1815,0.5887
1816,0.6999
1817,0.6256
1818,0.5056
1819,0.7604
1820,0.6986
1821,0.5111
1822,0.5198
1823,0.8463
1824,0.6886
1825,0.6941
1826,0.7661
1827,0.5075
1828,0.8745
1829,0.5872
1830,0.5181
1831,0.6705
1832,0.5457
1833,0.6512
1834,0.7163
1835,0.7115
1836,0.7096
1837,0.6482
1838,0.6193
1839,0.5356
1840,0.8704
1841,0.8047
1842,0.826
1843,0.9545
1844,0.7865
1845,0.5084
1846,0.6899
1847,0.9567
1848,0.5693
1849,0.7401
1850,0.7216
1851,0.5041
1852,0.8088
1853,0.6837
1854,0.815
1855,0.9548
1856,0.7209
1857,0.8093
1858,0.6772
1859,0.7083
1860,0.599
1861,0.8006
1862,0.5158
1863,0.7429
1864,0.7091
1865,0.5751
1866,0.6245
1867,0.5217
1868,0.7919
1869,0.524
1870,0.5342
1871,0.7967
1872,0.6927
1873,0.6962
1874,0.7581
1875,0.877
1876,0.5041
1877,0.6585
1878,0.6315
1879,0.7212
1880,0.8433
1881,0.7471
1882,0.9543
1883,0.8033
1884,0.6852
1885,0.6323
1886,0.6823
1887,0.5186
1888,0.6026
1889,0.6089
1890,0.5388
1891,0.6862
1892,0.7947
1893,0.5455
1894,0.5299
